candidate,noise,L,TB_n,TA_n,TB_order,TB_lag,TB_leftreturn,TB_leftreturn_n,TA_part,TA_lag
up3__circle__EE_core_to_out_degree_scale_1.5,847102,5.377621197067822,99,63,0.32639630220888677,34.455749566302984,0.1717171717171717,99,0.9920634920634921,-19.583210785334813
up3__radius25,847101,6.402578242212805,97,39,0.31791887053003864,36.845660447150294,0.19767441860465115,86,0.8846153846153846,92.58558528877984
up3__out_reference,847102,7.825578341309754,96,20,0.3544958123349329,36.49636527718212,0.0,86,0.8500000000000001,87.26691982886405
up3__circle__EE_core_to_out_scale_0.75,847101,,1,0,0.4016997588567297,41.475458171866194,0.0,1,,
up3__circle__EE_core_to_out_scale_1.25,847101,2.9977063545384164,75,71,0.35160173076853174,35.67206936948969,0.21333333333333335,75,0.3380281690140845,-16.460862717292912
up3__circle__EE_same_core_scale_0.75,847102,10.948615686201954,27,4,0.38529955407286937,47.73159194028267,0.037037037037037035,27,1.0,104.30320985092112
endpoint__radius25_dose_matched,847101,11.508906016864714,100,12,0.3864432479586062,36.12777538762748,0.02,100,0.6666666666666667,94.4944601346674
up3__circle,847102,7.743788990787312,105,22,0.32255622693212954,36.37124400096582,0.14583333333333334,96,0.9772727272727273,92.85278464587464
up3__ellipse4__depth_A_scale_1.25,847102,5.441344357187127,84,43,0.35038311644019726,36.333589458659844,0.12,75,0.7906976744186046,93.35418198778825
up3__ellipse4__EE_core_to_out_degree_scale_1.5,847101,7.946286974955302,113,39,0.36437075050255124,35.03333206698335,0.07079646017699115,113,1.0,-18.04110035562917
up3__out_perp15,847101,12.676631719097035,88,5,0.3940712112657081,36.358650132580806,0.03409090909090909,88,0.8,1.3170334408532653
endpoint__ellipse4_out_perp20,847101,10.581900441388077,88,13,0.39874706101182283,36.21198207759153,0.03409090909090909,88,0.5384615384615385,-7.974699653861535
endpoint__radius25,847101,2.6438556924108845,38,63,0.32181218002895284,36.36752570176941,0.21212121212121213,33,0.5158730158730158,99.46471792538432
up3__ellipse4__IE_same_core_scale_1.25,847102,7.561393847770873,89,17,0.3454620264232778,36.63903499301523,0.10843373493975904,83,0.7058823529411765,91.41015397473166
follow_circle_out1_EI0.875,847101,4.05230565526715,88,68,0.382711154111974,35.70454934805548,0.022727272727272728,88,0.014705882352941176,-17.20631841843351
follow_circle_out1.125_EI0.75,847102,4.512551400336651,96,73,0.2920799241425087,33.826238806690526,0.14583333333333334,96,1.0,-20.128432399986195
up3__circle__EE_core_to_out_scale_1.25__x_minus075,847101,2.870836478856572,72,68,0.3262068001941979,35.35735759633462,0.20833333333333334,72,0.6544117647058824,-12.386752884578527
