epoch,iso,gpu,util_pct,memory_used_mib,memory_total_mib,temp_c,power_w
1788730682,2026-09-07T05:38:02+08:00,1,99,1647,24576,61,187.38
1788730712,2026-09-07T05:38:32+08:00,0,98,1653,24576,56,185.62
1788730712,2026-09-07T05:38:32+08:00,1,98,1647,24576,62,185.76
1788730742,2026-09-07T05:39:02+08:00,0,20,1535,24576,53,127.39
1788730742,2026-09-07T05:39:02+08:00,1,99,1647,24576,63,187.45
1788730772,2026-09-07T05:39:32+08:00,0,98,1423,24576,52,181.11
1788730772,2026-09-07T05:39:32+08:00,1,70,1651,24576,63,187.68
1788730802,2026-09-07T05:40:02+08:00,0,97,1645,24576,54,182.02
1788730802,2026-09-07T05:40:02+08:00,1,98,1651,24576,63,188.07
1788730833,2026-09-07T05:40:33+08:00,0,73,1647,24576,55,183.24
1788730833,2026-09-07T05:40:33+08:00,1,98,1651,24576,63,187.99
1788730863,2026-09-07T05:41:03+08:00,0,86,1647,24576,55,183.34
1788730863,2026-09-07T05:41:03+08:00,1,92,1651,24576,63,187.38
1788730893,2026-09-07T05:41:33+08:00,0,97,1647,24576,55,184.51
1788730893,2026-09-07T05:41:33+08:00,1,20,1533,24576,58,133.82
1788730923,2026-09-07T05:42:03+08:00,0,83,1647,24576,55,183.66
1788730923,2026-09-07T05:42:03+08:00,1,98,1641,24576,59,184.83
1788730953,2026-09-07T05:42:33+08:00,0,99,1647,24576,55,184.12
1788730953,2026-09-07T05:42:33+08:00,1,13,825,24576,56,132.91
1788730983,2026-09-07T05:43:03+08:00,0,98,1651,24576,55,183.32
1788730983,2026-09-07T05:43:03+08:00,1,13,827,24576,55,131.85
1788731013,2026-09-07T05:43:33+08:00,0,96,1651,24576,55,183.95
1788731013,2026-09-07T05:43:33+08:00,1,22,827,24576,54,130.80
1788731043,2026-09-07T05:44:03+08:00,0,90,1651,24576,55,183.62
1788731043,2026-09-07T05:44:03+08:00,1,13,827,24576,53,130.26
1788731073,2026-09-07T05:44:33+08:00,0,97,1651,24576,55,183.53
1788731073,2026-09-07T05:44:33+08:00,1,19,833,24576,53,130.28
1788731103,2026-09-07T05:45:03+08:00,0,97,1651,24576,55,184.65
1788731103,2026-09-07T05:45:03+08:00,1,12,833,24576,53,130.26
1788731133,2026-09-07T05:45:33+08:00,0,65,1651,24576,55,184.10
1788731133,2026-09-07T05:45:33+08:00,1,13,833,24576,53,129.96
1788731164,2026-09-07T05:46:04+08:00,0,99,1651,24576,55,180.13
1788731164,2026-09-07T05:46:04+08:00,1,13,833,24576,53,130.06
1788731194,2026-09-07T05:46:34+08:00,0,97,1651,24576,55,183.58
1788731194,2026-09-07T05:46:34+08:00,1,13,833,24576,53,129.99
1788731224,2026-09-07T05:47:04+08:00,0,97,1651,24576,55,184.47
1788731224,2026-09-07T05:47:04+08:00,1,20,833,24576,53,130.52
