subject,seed_left,seed_right,lag,contact_kernel_cosine,stop_kernel_cosine
epilepsiae_1150,20260725,20260726,3,0.5881682324371326,0.6361291261517881
epilepsiae_1150,20260725,20260726,4,0.5781105551904573,0.6318224231740963
epilepsiae_1150,20260725,20260726,5,0.568947593023503,0.627129746489794
epilepsiae_1150,20260725,20260727,0,0.8057311693432926,0.19666674152214877
epilepsiae_1150,20260725,20260727,1,0.8041159101511707,0.17331375627360746
epilepsiae_1150,20260725,20260727,2,0.8020607541353189,0.15154201795747363
epilepsiae_1150,20260725,20260727,3,0.7995492679173049,0.13115565855515515
epilepsiae_1150,20260725,20260727,4,0.7965705928006587,0.1119632886989002
epilepsiae_1150,20260725,20260727,5,0.7931193333423481,0.0937873263054238
epilepsiae_1150,20260726,20260727,0,0.6239560704976417,0.8177142821014138
epilepsiae_1150,20260726,20260727,1,0.6191365439392316,0.8165461077129783
epilepsiae_1150,20260726,20260727,2,0.6146546769437344,0.8142921064013721
epilepsiae_1150,20260726,20260727,3,0.610554953936208,0.8112864510205452
epilepsiae_1150,20260726,20260727,4,0.6068812044933466,0.807777630609558
epilepsiae_1150,20260726,20260727,5,0.6036756726528557,0.8039479792509203
epilepsiae_139,20260725,20260726,0,0.7531898698562147,0.7550170359976986
epilepsiae_139,20260725,20260726,1,0.7467426761770306,0.7497935670878197
epilepsiae_139,20260725,20260726,2,0.7409966527729932,0.7448974810628148
epilepsiae_139,20260725,20260726,3,0.7361127611425878,0.7402777662166824
epilepsiae_139,20260725,20260726,4,0.7322549531824658,0.7358911222005581
epilepsiae_139,20260725,20260726,5,0.7295839645287013,0.731700805290924
epilepsiae_139,20260725,20260727,0,0.6708917101637172,0.8978226706384668
epilepsiae_139,20260725,20260727,1,0.6740012415109717,0.881381938567542
epilepsiae_139,20260725,20260727,2,0.6773220072629389,0.8639641911532987
epilepsiae_139,20260725,20260727,3,0.6807548439737168,0.845732754070708
epilepsiae_139,20260725,20260727,4,0.6841755084847764,0.8268458651632816
epilepsiae_139,20260725,20260727,5,0.6874367121087525,0.8074523570710412
epilepsiae_139,20260726,20260727,0,0.627710072243105,0.9281569471904223
epilepsiae_139,20260726,20260727,1,0.6185800215764167,0.9372919945805682
epilepsiae_139,20260726,20260727,2,0.6087371435865472,0.94549997270637
epilepsiae_139,20260726,20260727,3,0.5982105914381831,0.9527436039098677
epilepsiae_139,20260726,20260727,4,0.5870614752870523,0.9590194034859777
epilepsiae_139,20260726,20260727,5,0.575388513298431,0.9643494412319921
epilepsiae_253,20260725,20260726,0,0.7699720739483218,0.6849553894945499
epilepsiae_253,20260725,20260726,1,0.7663540114041799,0.7034190825695729
epilepsiae_253,20260725,20260726,2,0.7630107256906802,0.7198026590728217
epilepsiae_253,20260725,20260726,3,0.7599948404367732,0.7343308164206749
epilepsiae_253,20260725,20260726,4,0.7573590510414201,0.7472056942670667
epilepsiae_253,20260725,20260726,5,0.7551540317050354,0.7586085279586299
epilepsiae_253,20260725,20260727,0,0.6144488324425608,0.46522089997919785
epilepsiae_253,20260725,20260727,1,0.6156144328532386,0.4575251328074955
epilepsiae_253,20260725,20260727,2,0.6169056282596255,0.4489383577988454
epilepsiae_253,20260725,20260727,3,0.618284688378659,0.43962774038808655
epilepsiae_253,20260725,20260727,4,0.6197085286925962,0.429739552885119
epilepsiae_253,20260725,20260727,5,0.6211296550368487,0.4194002487413889
epilepsiae_253,20260726,20260727,0,0.653882315840998,0.8159707583062393
epilepsiae_253,20260726,20260727,1,0.6537986254614119,0.8105251382915614
