comparison,component,dataset,n,median_nats,median_bits,positive,sign_p_two_sided,wilcoxon_p_two_sided,ci95_low,ci95_high
lag3plus_contribution,event_continue_nll,epilepsiae,18,-0.0002730153501033922,-0.00039387789168072806,8,0.8145294189453125,0.6705245971679688,-0.0014386549592017989,0.0007519051432609489
lag3plus_contribution,event_continue_nll,yuquan,16,0.0021636700257659514,0.003121516016292634,15,0.000518798828125,9.1552734375e-05,0.0013762041926383972,0.0034224204719067036
lag3plus_contribution,event_stop_contribution_nll,all,34,-0.00032602995634080367,-0.00047036180119412274,10,0.024306510109454393,0.06182266934774816,-0.0005184710025787354,-3.758072853088379e-05
lag3plus_contribution,event_stop_contribution_nll,epilepsiae,18,6.115436553949527e-05,8.822709989254075e-05,9,1.0,0.6396942138671875,-0.0003034994006156505,0.0004584342241286954
lag3plus_contribution,event_stop_contribution_nll,yuquan,16,-0.00048416107892987337,-0.0006984967875635783,1,0.000518798828125,0.001678466796875,-0.001080468297004658,-0.0003377050161361972
lag3plus_contribution,event_terminal_stop_nll,all,34,-0.003225088119506947,-0.004652818636442585,13,0.22948101302608848,0.05043982632923871,-0.022356152534484863,0.0027548670768737793
lag3plus_contribution,event_terminal_stop_nll,epilepsiae,18,0.0031539201736450195,0.004550144993877328,11,0.480682373046875,0.18146514892578125,-0.0012833774089813232,0.012494087219238281
lag3plus_contribution,event_terminal_stop_nll,yuquan,16,-0.04080975055694591,-0.058876024748421484,2,0.004180908203125,0.002685546875,-0.06139874458312988,-0.014073371887207031
lag3plus_contribution,event_total_nll,all,34,-8.213520050048828e-05,-0.00011849604644447515,15,0.6075913612730801,0.3604972792090848,-0.0013503849506377075,0.0006301403045654297
lag3plus_contribution,event_total_nll,epilepsiae,18,-8.213520050048828e-05,-0.00011849604644447515,7,0.480682373046875,0.550872802734375,-0.0009069442749023438,0.0007094144821168102
lag3plus_contribution,event_total_nll,yuquan,16,3.3020973205566406e-05,4.763919428899799e-05,8,1.0,0.40374755859375,-0.002795696258544922,0.0011659860610959694
linear_minus_rank_shuffle,event_contact_choice_nll,all,34,0.025010585784912,0.036082648081620546,29,3.8558151572942734e-05,9.722122922539711e-05,0.010804414749145286,0.03304004669189453
linear_minus_rank_shuffle,event_contact_choice_nll,epilepsiae,18,0.021759450435638428,0.03139225123596476,16,0.001312255859375,0.0182342529296875,0.009529769420623668,0.034887969493865856
linear_minus_rank_shuffle,event_contact_choice_nll,yuquan,16,0.026805877685546764,0.03867270680361444,13,0.021270751953125,0.001312255859375,0.008278131484984907,0.03690218925476074
linear_minus_rank_shuffle,event_contact_contribution_nll,all,34,0.021018385887145774,0.030323121086875786,29,3.8558151572942734e-05,9.722122922539711e-05,0.009393614530563357,0.029271841049194336
linear_minus_rank_shuffle,event_contact_contribution_nll,epilepsiae,18,0.018238782882690208,0.026313001616707677,16,0.001312255859375,0.0182342529296875,0.008310675621032826,0.03004890680313077
linear_minus_rank_shuffle,event_contact_contribution_nll,yuquan,16,0.024191021919250377,0.034900267356938734,13,0.021270751953125,0.001312255859375,0.007790565490722656,0.03398287296295166
